Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
5121.KL,0.1322,0.5373,0.4729,35382149.0,4.21,12.118,0.158
0175.KL,,0.0,0.24063998,33993044.0,7.71,17.070,0.032
4324.KL,0.0307,,-0.092659995,-133841000.0,-,-68.977,-0.525
5095.KL,0.033800002,,-0.0071799997,2890000.0,-,-1.264,0.016
5151.KL,0.013099999,0.2857,0.12505001,91303080.0,80.37,16.393,0.013
7803.KL,,0.0,-0.36308998,-34958894.0,-,-11.514,-0.062
0161.KL,0.0506,0.0,0.1041,-15589968.0,7.73,46.864,0.004
5136.KL,,16.6667,0.022160001,-9778930.0,992.90,2.091,0.032
3298.KL,0.0423,1.2121,0.11545999,-1940020.0,29.49,2.026,0.031
0160.KL,,0.0,0.09,4770796.0,9.66,6.396,0.021
5072.KL,0.023,1.3889,0.0026800002,-208272000.0,55.93,1.026,0.090
5199.KL,0.026500002,0.1039,0.32027,749909000.0,5.43,16.375,0.199
8443.KL,0.02,0.24129999,0.20040001,29549821.0,12.55,6.635,0.072
0188.KL,,0.0,-0.24326,-3384839.0,-,-36.384,-0.073
5169.KL,,0.0,0.16574,-20523000.0,-,-4.686,-0.065
9601.KL,,0.0,0.00382,-16965000.0,-,-4.704,-0.009
5160.KL,0.0525,0.317,0.19743,44857196.0,7.84,11.348,0.096
5819.KL,0.030299999,0.31129998,0.60952,7452976000.0,10.68,11.753,1.863
5274.KL,0.0322,0.90050006,0.37335998,455095000.0,25.76,5.222,0.212
1082.KL,0.0271,0.1917,0.60326,161573000.0,7.30,10.932,2.461
3301.KL,0.0641,0.5884,0.12049,345721000.0,9.63,14.776,0.924
0041.KL,,0.0,-6.27775,-132847103.0,-,-7.285,0.014
5291.KL,0.0165,0.3953,0.10090999,-265000.0,17.43,5.133,0.025
0228.KL,0.039,0.6261,0.16497,11776999.0,17.11,7.854,0.024
0185.KL,0.0115,0.2507,0.1389,-1364227.0,20.27,7.553,0.031
5062.KL,,0.0,0.13548,20590362.0,24.23,1.115,0.008
7013.KL,,0.0,-0.0032,14523880.0,26.14,3.767,0.003
5000.KL,,0.0,0.097729996,684000.0,19.58,15.068,0.084
5024.KL,0.056700002,0.9238,0.13161999,18615321.0,16.16,24.380,0.033
8478.KL,,0.0,-0.07802,-8210665.0,-,-30.021,-0.078
4251.KL,0.0074,0.0,0.042179998,-4717000.0,12.41,2.310,0.023
5084.KL,0.0342,0.2339,0.22752,12192698.0,7.27,9.889,0.056
5255.KL,,0.0,0.02636,114469773.0,1.79,42.208,0.062
9113.KL,,0.0,-0.18548,-4174000.0,-,-15.956,-0.044
03038.KL,,0.0,0.09243,-21145692.0,22.88,15.750,0.010
03030.KL,0.01,0.3125,0.39186,1341987.0,74.91,28.291,0.003
9687.KL,0.0049,0.0,0.10929,-24048283.0,25.93,6.406,0.079
0023.KL,,0.0,0.01745,2241814.0,103.45,1.576,-0.007
5606.KL,0.0626,0.192,0.4675,357726000.0,12.38,6.073,0.118
5299.KL,0.0653,1.3256,0.5003,113533000.0,19.22,2.619,0.027
5227.KL,0.056399997,0.90139997,0.66589,424373000.0,14.65,10.531,0.111
5225.KL,0.0179,0.28959998,0.15074,1951396000.0,24.62,7.704,0.170
3336.KL,0.0323,0.936,0.1904,904959000.0,27.75,2.119,0.045
5614.KL,,0.0,0.04295,-3918510.0,10.85,5.217,0.001
7222.KL,0.0062,5.6452003,0.05263,-973478.0,251.56,1.237,0.022
7243.KL,,0.0,-0.06961,700691.0,-,-27.870,-0.054
0166.KL,0.0276,0.9989,0.21278,394097000.0,32.71,12.669,0.087
2607.KL,,0.0,-0.70537,-1154000.0,-,-1.814,-0.028
9393.KL,,0.0,-0.17374,-30005132.0,-,-12.111,-0.018
0253.KL,0.028499998,0.44189999,0.2321,5786000.0,10.93,47.312,0.037
0265.KL,,0.0,0.19258,46710000.0,-,-,0.073
7240.KL,,0.0,-0.66269994,-14888328.0,-,-33.382,-0.063
5178.KL,,0.0,0.32209,27784777.0,4.76,23.496,0.021
5295.KL,0.0674,1.3274001,0.14006,34246000.0,19.42,11.192,0.030
0147.KL,,0.0,-0.03895,4777083.0,-,-9.934,-0.001
6262.KL,0.072,1.6515,0.23758,92767708.0,14.23,13.435,0.173
3379.KL,0.028399998,0.0765,-0.02323,-34995000.0,4.92,5.411,0.185
0192.KL,0.0481,0.2874,0.03918,-10165202.0,9.96,9.021,0.018
1961.KL,0.0251,0.77989995,0.14066,1458400000.0,22.74,10.004,0.179
5249.KL,0.0301,0.1519,0.49219,-827674000.0,6.28,6.518,0.253
5107.KL,,0.0,0.057979997,1737926.0,9.38,6.439,0.081
7183.KL,,0.0,-0.046329997,795000.0,20.00,0.266,0.004
8834.KL,,0.0,-9.08772,18125055.0,1.41,277.287,0.354
0010.KL,,0.0,0.09423,19219000.0,8.84,8.634,0.007
1589.KL,,0.0,-0.025039999,-295000.0,-,-3.773,-0.035
5309.KL,0.0044,0.14840001,0.55474,-1453000.0,13.65,29.924,0.201
5175.KL,,0.0,4.78272,14592000.0,-,-79.496,-0.256
7043.KL,,0.0,-0.73998,-42635069.0,-,-17.272,-0.128
7223.KL,,0.0,-0.32584998,5173914.0,-,-11.413,-0.010
0024.KL,,0.0,0.0477,13417222.0,37.59,2.353,0.015
4723.KL,,0.0,-0.55253,-221265470.0,8.64,3.558,0.026
8648.KL,,0.0,-0.05356,303279.0,-,-1.527,0.000
4383.KL,0.0364,0.3091,0.24341999,301496000.0,5.13,11.588,0.159
7152.KL,0.083900005,0.939,0.12673001,20152000.0,8.72,11.797,0.080
0058.KL,0.0375,0.2689,0.63102,-3888823.0,6.77,8.090,0.179
5161.KL,,0.0,-0.2917,-126569000.0,-,-16.437,-0.042
5673.KL,,0.0,-0.56167,-53647000.0,-,-4.836,-0.014
0146.KL,0.0092,0.70419997,0.22025,2419000.0,75.69,9.297,0.013
0127.KL,,0.0,0.06718,-17583096.0,45.15,3.668,0.039
8923.KL,,0.0,-3.12467,-15638521.0,-,-19.705,-0.069
03040.KL,,0.0,0.10658,-4236352.0,12.44,13.566,0.034
6769.KL,,0.0,0.34248,75745000.0,9.31,4.761,0.011
7096.KL,,0.0,-1.68461,-10273000.0,-,-6.994,-0.013
3441.KL,,0.0,-1.47741,-94533000.0,-,-16.427,-0.010
5192.KL,,0.0,-0.01212,-3822461.0,-,-0.856,0.011
8672.KL,,0.0,-0.04127,22314473.0,-,-2.272,-0.026
0170.KL,,0.0,-0.18569,-134894574.0,-,-4.359,-0.344
5247.KL,0.0179,0.0,0.042150002,-35029000.0,60.80,2.243,0.010
0054.KL,0.02,0.33330002,0.041050002,20682782.0,19.55,3.682,0.013
7216.KL,0.02,0.3987,0.08331,26337129.0,19.88,8.450,0.107
3476.KL,0.033299997,0.1511,0.080570005,237706000.0,7.00,8.754,0.561
7199.KL,0.014400001,0.0732,0.08748,20745271.0,6.69,14.789,0.205
0193.KL,,0.0,0.05187,-6169579.0,139.34,5.387,0.001
0151.KL,0.02,0.2352,0.06334,-8829000.0,14.32,28.941,0.087
7323.KL,,0.0,0.28598,13723000.0,17.21,1.707,0.016
6483.KL,0.0686,0.939,0.0802,-353709000.0,14.16,4.576,0.075
7161.KL,0.0615,0.639,0.12997,89219432.0,13.38,10.078,0.092
7077.KL,0.0366,0.2991,0.31572,142437000.0,7.81,22.137,0.099
9334.KL,0.0099,,-0.01372,-51053000.0,-,-1.651,0.039
0036.KL,,0.0,-0.48658,-106771.0,-,-16.277,-0.006
0143.KL,,0.0,-0.3183,-4795300.0,-,-16.295,-0.004
6203.KL,,0.0,0.04853,-3791056.0,13.20,-877.763,0.012
7062.KL,0.0305,0.4042,0.02643,13000000.0,12.96,4.117,0.430
6211.KL,,0.0,-0.04156,-1002121.0,-,-2.237,-0.012
5371.KL,,0.0,-0.08365,-19287000.0,-,-8.596,-0.241
0210.KL,0.0343,0.0,0.03115,5330713.0,36.66,2.375,0.013
5027.KL,0.0538,0.6536,0.14021,149194929.0,11.40,18.019,0.168
0180.KL,,0.0,0.05207,31083089.0,7.18,13.217,0.032
5171.KL,0.0121,,0.01234,30604228.0,-,-1.329,-0.020
5280.KL,0.0787,0.62560004,0.61091,55448000.0,-,-,-
9466.KL,0.042600002,0.8264,0.10606,41176696.0,19.81,5.349,0.041
5235SS.KL,0.051799998,0.8503,0.64485,1019899000.0,15.02,6.275,0.434
2453.KL,0.0026,,0.25507,10838498.0,12.38,2.814,0.313
7164.KL,,0.0,0.040700004,174351000.0,-,-55.800,0.024
5035.KL,,0.0,0.0011,-21557000.0,-,-1.619,-0.023
6971.KL,0.016,0.24530001,0.12222,-87190272.0,20.11,7.539,0.088
7017.KL,,0.0,-0.04601,-17550000.0,-,-2.844,-0.008
0111.KL,,0.0,0.00593,-4276601.0,81.63,1.424,0.000
4847.KL,,0.0,0.07121,3043000.0,29.70,0.000,-0.024
7153.KL,0.109799996,,-0.024719998,-21983000.0,-,-0.171,0.062
0002.KL,0.056399997,0.5628,0.27362,56233000.0,12.07,25.323,0.441
5878.KL,0.028099999,0.5567,0.14045,225591000.0,23.73,9.908,0.039
9121.KL,,0.0,0.01799,-3493827.0,6.50,4.119,0.107
1996.KL,0.0348,0.97089994,0.06467,123132000.0,28.54,5.772,0.047
0176.KL,,0.0,0.08509,-8326554.0,14.91,5.916,0.028
5038.KL,,0.0,0.36013,116147894.0,3.48,9.379,0.176
2445.KL,0.0467,0.91410005,0.08753,1403918000.0,19.84,8.440,2.009
6874.KL,0.0357,0.2467,0.05659,23726000.0,8.89,6.693,0.061
2186.KL,0.0075,,0.77191,-1174804.0,15.18,3.100,0.090
6491.KL,0.05,0.48470002,0.14837,1411000.0,9.97,5.743,0.229
7033.KL,0.0339,0.4594,0.30547002,7250015.0,13.30,6.415,0.076
9083.KL,,0.0,-0.015149999,-1879529.0,-,-11.997,-0.032
5310.KL,0.0152,0.0,0.06881,74841610.0,7.76,13.584,0.095
5843.KL,0.0986,0.3744,0.04484,83096000.0,5.93,6.116,0.136
8362.KL,,0.0,0.0191,-2728000.0,4.58,15.480,0.059
0268.KL,0.0111,0.0,0.15596,973000.0,14.91,-,0.026
7179.KL,0.0465,0.4096,0.27547002,112853457.0,8.08,15.164,0.181
0018.KL,,0.0,-4.51295,-1407130.0,-,-30.487,-0.375
3174.KL,0.0462,0.5747,0.18747,-7777000.0,14.50,2.282,0.009
1643.KL,,0.0,-0.80363,-6781000.0,-,-2.219,-0.064
9385.KL,0.0107,0.078099996,0.04777,74198261.0,7.29,6.255,0.038
9326.KL,0.048499998,0.3561,0.05752,87124000.0,5.67,10.275,0.089
8494.KL,0.0385,3.637,0.0431,-2185307.0,86.06,0.428,0.005
5789.KL,0.0434,0.324,0.17274,358521378.0,8.10,6.925,0.069
9881.KL,0.031600002,0.0,0.00103,51414642.0,13.61,2.574,0.048
9628.KL,,0.0,0.02871,1455920.0,"1,039.47",0.088,0.001
8079.KL,0.0461,0.5573,0.11806,13253000.0,12.12,15.164,0.067
0266.KL,,0.0,-0.054619998,-97165000.0,-,-8.517,-0.006
5232.KL,0.026300002,0.8333,0.03627,12384460.0,13.47,2.495,0.087
6633.KL,0.0327,0.26790002,0.056220002,329387000.0,8.11,12.268,0.060
7170.KL,,0.0,0.08177,-7248564.0,79.74,2.715,0.001
0249.KL,0.0167,0.5394,0.43092,12004000.0,43.60,13.960,0.028
3573.KL,,0.0,-0.69098,302000.0,-,-7.112,-0.103
7089.KL,0.0608,0.4029,0.13103,110431587.0,7.09,13.790,0.139
03047.KL,0.0119,0.2467,0.31415,45485950.0,6.17,68.627,0.118
4235.KL,,0.0,-0.16946,-564641000.0,-,-20.155,-0.458
8486.KL,,0.0,0.01235,-81893000.0,31.72,0.403,0.003
0182.KL,,0.0,-0.25367,-39289000.0,-,-17.534,0.010
5284.KL,,0.0,-0.17813,-4702360000.0,-,-9.937,-0.321
8303.KL,,0.0,0.03271,9294125.0,127.19,3.252,0.003
8621.KL,0.053200003,0.8078,0.32597,915209000.0,15.47,13.954,0.694
7085.KL,,0.0,0.06197,35333241.0,12.87,8.013,0.144
5068.KL,,0.0,-0.06341,-8101395.0,-,-6.776,-0.006
5143.KL,0.0337,0.7605,0.068,81505731.0,17.86,5.455,0.043
0075.KL,,0.0,0.04532,2459000.0,-,-42.942,-0.035
9199.KL,0.027999999,0.1376,0.12782,13134451.0,9.44,5.384,0.171
0103.KL,,0.0,-0.61842996,-26489567.0,-,-8.708,-0.029
1198.KL,,0.0,-0.043870002,-47956000.0,-,-0.184,-0.003
0095.KL,,0.0,0.24482,-16025000.0,9.17,4.683,0.022
7617.KL,,0.0,0.094510004,-18222974.0,-,-1.459,0.116
7087.KL,0.0563,0.3748,0.09357,48835597.0,8.58,12.933,0.220
3859.KL,0.049099997,0.615,0.09997,169673000.0,13.76,4.889,0.070
8583.KL,0.033299997,0.33080003,0.13457,639378000.0,11.08,4.878,0.065
8141.KL,,0.0,-0.48695,17773443.0,-,-1.817,-0.046
5264.KL,0.0504,,0.0545,-241649000.0,-,-5.086,0.052
1155.KL,0.066,0.7598,0.49292,8256940000.0,11.88,10.216,0.688
3794.KL,0.0163,0.0,0.109519996,169716000.0,42.41,2.713,0.090
3662.KL,0.048,0.42610002,0.02549,-129622000.0,6.39,7.517,0.142
3891.KL,,0.0,-0.05646,33595000.0,-,-2.550,-0.004
5014.KL,0.0055,0.14310001,0.44217,899978000.0,26.65,6.159,0.078
1171.KL,0.1164,1.4613,0.51206,936416000.0,12.37,4.848,0.064
5186.KL,0.0278,,-0.15961,95318000.0,-,-22.333,0.042
5916.KL,0.0633,0.5036,0.07551,225219000.0,16.04,8.223,0.234
5098.KL,,0.0,0.01995,-80569000.0,42.54,0.750,0.024
5077.KL,,0.0,0.16420999,104838000.0,11.64,5.115,0.093
0155.KL,,0.0,-1.62052,-1273775.0,-,-44.633,-0.112
3867.KL,0.0127,0.5207,0.05242,-38042000.0,90.19,3.055,0.308
1651.KL,0.0215,,0.0574,-19024000.0,36.28,1.245,0.015
4936.KL,,0.0,0.49123,325039.0,35.18,1.580,0.036
6181.KL,,0.0,0.03937,252223000.0,-,-8.805,-0.160
0156.KL,,0.0,-0.58273,-14831581.0,-,-16.481,-0.012
03015.KL,,0.0,0.025209999,1644664.0,-,11.363,0.004
1058.KL,0.0361,0.0,0.04597,20171000.0,8.73,4.351,0.089
3514.KL,0.3158,2.1858,0.20858999,19712400.0,10.41,8.741,0.019
5078.KL,,0.0,0.22367,81490000.0,3.76,38.960,0.066
7029.KL,0.0392,0.2733,0.16162,20912000.0,6.04,16.699,0.400
0189.KL,0.024400001,1.1579,0.04188,4967241.0,81.08,1.106,0.001
5236.KL,0.0671,0.39099997,0.2182,208967000.0,5.88,11.320,0.197
03019.KL,,0.0,0.118,4021466.0,400.00,0.729,-0.002
4022.KL,0.0513,0.3125,0.17376,64218000.0,6.21,8.756,0.053
6012.KL,0.0396,1.2179,0.19628,1583000000.0,27.56,19.083,0.151
5983.KL,0.0325,0.28370002,0.00819,42636000.0,5.91,12.157,0.717
7004.KL,0.0318,0.0,0.13688,-6850359.0,6.31,15.508,0.146
0167.KL,,0.0,-0.10904,2159102.0,-,-15.403,-0.015
03022.KL,,0.0,-1.43241,-1051232.0,-,-268.177,-0.011
5182.KL,,0.0,0.095,-131243203.0,11.78,3.580,0.000
5090.KL,0.0434,,-0.013710001,6017000.0,-,-,-
4502.KL,0.0341,0.2868,0.07972,49786000.0,11.02,6.494,0.050
3069.KL,0.0235,0.1884,0.35841,394695000.0,8.55,13.922,0.420
5129.KL,0.0182,0.0714,0.22885999,-53932923.0,3.75,6.860,0.164
3778.KL,,0.0,-0.01521,5475227.0,-,-1.828,-0.047
1694.KL,,0.0,0.65072,103010000.0,21.68,4.674,0.034
5223.KL,,0.0,-0.8791,707247.0,-,-11.364,-0.251
8192.KL,,0.0,-0.03706,-8206498.0,-,-9.893,-0.131
5040.KL,,0.0,4.75639,-22269000.0,-,-10.442,-0.058
7234.KL,,0.0,0.119540006,29285000.0,5.35,13.621,0.091
5011.KL,0.0388,0.8961,0.01084,7186000.0,22.40,3.188,0.108
0207.KL,0.0029,0.125,0.13157,-7152281.0,40.73,11.206,0.009
2097.KL,,0.0,0.37284002,-11010903.0,52.90,4.338,0.004
03005.KL,0.0111,0.8148,0.19912,4672596.0,69.08,16.939,0.008
6149.KL,0.047199998,0.4754,0.02318,81233551.0,10.15,3.631,0.142
0043.KL,,0.0,-0.27034,68235636.0,-,-6.892,-0.007
7595.KL,0.0072000003,0.0938,0.06666,-6630083.0,12.96,6.100,0.026
5026.KL,0.033,0.4225,0.07836,68523403.0,12.69,4.607,0.176
5286.KL,0.0234,0.4043,0.19093001,69412559.0,22.26,6.318,0.077
0126.KL,,,0.11873999,-13480583.0,43.44,10.464,0.024
5001.KL,,0.0,-0.18746,21797000.0,-,-8.777,-0.034
0112.KL,0.0021,0.0685,0.06331,1543620.0,32.76,3.154,0.006
7935.KL,,0.0,-0.13512,-3527098.0,"4,230.77",0.075,0.013
5166.KL,,0.0,0.059320003,7890000.0,26.97,3.186,0.003
7219.KL,,0.0,-0.039330002,-44149276.0,-,-9.902,-0.009
5576.KL,,0.0,0.07176,14602000.0,17.80,1.511,0.021
3816.KL,0.0508,0.582,0.22758,748561000.0,12.66,6.649,0.408
9571.KL,0.0182,0.1488,0.116809994,24122364.0,8.01,3.778,0.009
8893.KL,,0.0,0.14581001,39079000.0,21.06,1.060,0.011
6114.KL,0.0286,0.32709998,0.12517,219480751.0,11.29,3.884,0.195
0085.KL,,0.0,-0.35248002,-19514916.0,-,-5.535,-0.005
0034.KL,,0.0,-0.14850001,-17115024.0,-,-24.159,-0.038
03027.KL,,0.0,0.24102,9083907.0,61.88,15.591,0.008
0113.KL,0.0377,2.4096,0.04541,12370937.0,63.63,2.348,0.045
0245.KL,,0.0,0.08469,-3785128.0,17.87,14.508,0.016
6459.KL,0.038,0.0921,0.07013,-168376000.0,4.49,7.920,0.153
0229.KL,,0.0,0.14597,7178652.0,18.01,10.559,0.017
5237.KL,0.4286,9.434,0.84959,-198303000.0,3.33,1.734,0.280
0070.KL,,0.0,-0.97456,-12651571.0,-,-11.799,0.002
5296.KL,0.0166,0.42200002,0.18155001,225857000.0,27.34,35.606,0.050
5202.KL,,0.0,-0.05171,-23832000.0,-,-11.238,-0.254
0213.KL,0.0698,0.7126,0.22217,25716629.0,9.97,14.455,0.044
0092.KL,,0.0,-0.13773,-35900261.0,-,-13.817,-0.012
5152.KL,,0.0,0.096099995,36177944.0,2.16,29.253,0.260
3883.KL,0.0286,,-0.027209999,-57002000.0,-,-3.477,-0.036
5085.KL,,0.0,-0.0115600005,-32645000.0,-,-3.303,0.012
5703.KL,,0.0,0.00577,77680000.0,-,-0.979,-0.028
3913.KL,0.0513,0.35970002,0.1539,6553000.0,3.96,10.924,0.048
3905.KL,,0.0,0.06429,-270699000.0,-,-0.514,0.273
9539.KL,,0.0,0.35949,8176720.0,6.80,5.437,0.076
0138.KL,0.0179,0.21370001,0.60495,-230788000.0,12.99,23.748,0.054
5087.KL,,,-0.00497,16044205.0,-,-2.497,-0.038
5275.KL,,0.0,-0.00049,18753000.0,-,-5.114,-0.029
7692.KL,,0.0,0.14575,-1633241.0,67.75,3.032,0.005
0108.KL,0.044,0.3448,0.13251,27583750.0,16.72,5.729,0.032
5073.KL,,0.0,-0.03243,14156000.0,27.62,1.230,0.050
0270.KL,0.0112,0.0,0.13494,2730219.0,34.81,27.061,0.041
0056.KL,,0.0,0.26632,16044536.0,11.74,8.188,0.032
2038.KL,0.018099999,0.2439,0.10423,34047370.0,13.62,2.949,0.395
0235.KL,,0.0,-0.022939999,-82911580.0,-,-13.902,-0.024
4707.KL,0.026199998,0.9836,0.12829,199307000.0,48.96,86.910,2.645
0020.KL,,0.0,-1.00729,-6805382.0,-,-12.894,-0.019
7060.KL,0.0619,0.26569998,0.16061,49347000.0,6.19,7.723,0.323
0096.KL,,0.0,-0.45837003,5543613.0,-,-19.447,-0.035
7241.KL,,0.0,0.57409,-49974127.0,55.81,5.012,0.014
7215.KL,,0.0,-0.17785,-7315000.0,-,-7.094,-0.010
7139.KL,,0.0,-0.21986,-17257848.0,-,-10.763,-0.007
0083.KL,,0.0,-0.11372,7625000.0,31.49,1.285,0.018
0026.KL,,0.0,-0.50101,-7907192.0,-,-30.431,-0.010
03006.KL,0.0109,0.0,0.31865,457428.0,-,19.435,0.008
0201.KL,0.0292,0.5097,0.39185002,2458583.0,15.72,14.536,0.047
03045.KL,,0.0,-0.13108,-291066.0,-,-2.588,-0.001
5047.KL,,0.0,0.05209,-42099000.0,-,-0.639,-0.014
5066.KL,0.078,,0.010199999,-26398074.0,-,-1.141,-0.005
5025.KL,,0.0,-1.2031701,-6273366.0,-,-12.250,-0.010
4944.KL,,0.0,-8.360189,-1704000.0,-,-6.826,-0.008
5533.KL,,0.0,0.01573,-350000.0,23.40,1.859,-0.035
0220.KL,,0.0,0.04894,-6463018.0,29.08,4.787,-0.003
0049.KL,0.0328,0.45450002,0.09741,-1043441.0,13.63,4.885,0.025
0172.KL,,0.0,0.13248,-56541000.0,12.09,5.473,0.031
7071.KL,,0.0,0.01894,-57999036.0,-,-3.549,-0.009
7140.KL,0.0652,1.6423,0.04398,-2179065.0,24.29,3.538,0.045
3018.KL,,0.0,-0.065170005,7357000.0,9.13,11.000,0.068
5298.KL,0.030299999,0.19409999,0.10403,156995000.0,-,-,-
9008.KL,,0.0,-0.46383,5758098.0,1.49,-23.214,0.236
5079.KL,,0.0,-4.9615498,-2265037.0,-,-149.381,0.000
03041.KL,0.05,0.24040002,-0.045879997,1230037.0,-,-3.076,0.014
5260.KL,,0.0,0.19434999,25679245.0,19.76,5.695,0.027
0035.KL,,0.0,0.13545999,14190198.0,23.17,5.613,0.018
0040.KL,0.0507,0.5861,0.18632,8107259.0,12.10,14.750,0.026
0275.KL,0.0101,0.0,0.46231997,4711604.0,-,-,0.041
0222.KL,0.0701,1.1008999,0.21019,15938000.0,32.36,24.913,0.022
0252.KL,,0.0,0.041050002,7727176.0,-,-2.330,-0.004
7107.KL,0.0297,0.34759998,0.06398,5024496.0,13.57,9.031,0.080
4006.KL,0.0785,0.7924,0.12117,286722000.0,12.58,4.348,0.803
5827.KL,0.040999997,0.3762,0.18933001,-15379000.0,9.10,9.228,0.168
5065.KL,0.011,,0.0074,-7732000.0,-,-0.278,0.033
5053.KL,0.049200002,0.256,0.14837,-329034000.0,5.19,8.440,0.207
0053.KL,0.035099998,0.1345,0.86335,588856.0,3.53,12.865,0.097
0153.KL,,0.0,-0.11768,-14681084.0,-,-4.569,-0.002
7225.KL,0.081599995,0.2033,0.09694,-35424475.0,11.18,12.479,0.022
7095.KL,0.0166,0.28170002,0.06689,-24364962.0,16.40,12.661,0.182
6009.KL,0.049000002,4.4898,-0.047670003,10069000.0,68.17,1.253,0.201
7052.KL,0.0253,0.3387,0.15970999,457504000.0,11.67,23.063,0.338
4081.KL,0.0136,0.20979999,-0.03387,-7957000.0,5.32,11.969,0.039
1287.KL,,0.0,-0.029860001,-169000.0,-,-2.185,-0.001
3719.KL,0.0637,0.5646,0.07755,72541000.0,13.09,11.194,1.319
8419.KL,0.0052,0.0,0.030030001,-63930860.0,35.26,7.930,0.010
5125.KL,0.0678,0.428,0.16148001,62143833.0,6.31,14.231,0.140
5022.KL,,0.0,0.00093000004,3333029.0,-,-0.050,0.000
0242.KL,,0.0,0.27106002,-63025610.0,37.78,8.187,0.017
3611.KL,,0.0,-0.121709995,-32912348.0,97.29,0.556,0.005
9407.KL,,0.0,-0.07205,-5669285.0,-,-12.339,-0.068
1724.KL,0.0631,0.46080002,0.26116,163342000.0,7.45,4.975,0.096
5657.KL,,0.0,0.10094,239978000.0,-,-2.220,-0.105
2682.KL,,0.0,-0.04163,-7613116.0,16.93,1.615,0.009
0022.KL,,0.0,-0.04402,-11946552.0,-,-17.738,-0.027
6912.KL,,0.0,-0.26326,10869573.0,-,0.483,-0.039
0177.KL,,0.0,-0.02221,-41095530.0,-,-8.566,-0.308
5212.KL,0.0713,0.90379995,0.57939,361692000.0,9.05,9.592,0.130
5041.KL,0.075,0.1391,0.09819,61642000.0,4.35,7.218,0.233
6068.KL,0.025,0.0,0.0049900003,-19837000.0,41.62,-3.099,0.075
